id,thread_number,retweets,likes,replies
963803508100272129,Thread 19,0,2,1
963803574529556482,Thread 19,0,3,1
963803661364289536,Thread 19,0,2,1
963803743958552581,Thread 19,0,3,1
963803839756464128,Thread 19,1,3,1
963818973308641281,Thread 19,2,4,1
964055506548613120,Thread 19,0,0,2
964091166345089024,Thread 19,1,1,0
970248407523758080,Thread 20,13,12,1
970248409075548160,Thread 20,3,4,1
970248414268141568,Thread 20,1,2,1
970248410346524672,Thread 20,2,4,1
970248417971752960,Thread 20,3,4,2
970248415509712896,Thread 20,1,4,1
970248421956292608,Thread 20,2,3,1
970248420609978369,Thread 20,3,4,1
970248426079358976,Thread 20,2,3,1
970248430944649218,Thread 20,3,3,2
970248428407140352,Thread 20,4,5,1
970248434849669122,Thread 20,3,5,2
970248438746177538,Thread 20,4,6,1
970248441292115968,Thread 20,4,3,1
970248446455287808,Thread 20,2,4,1
970248444769198080,Thread 20,1,2,1
970248449106038784,Thread 20,2,4,1
970249414014132225,Thread 20,2,4,1
970407905454444544,Thread 20,3,4,1
975151388769447936,Thread 21,329,572,32
975151985358852096,Thread 21,123,310,10
975152658624397312,Thread 21,85,267,10
975154396832018432,Thread 21,61,197,4
975155822777913344,Thread 21,99,259,5
975156809500520448,Thread 21,59,190,4
975157123037282306,Thread 21,58,188,4
975158021989912576,Thread 21,74,214,12
975158773948887041,Thread 21,82,252,3
975159727578537985,Thread 21,60,192,4
975160719082635264,Thread 21,67,142,7
975161430822436864,Thread 21,62,132,2
975162787889537024,Thread 21,57,156,2
975163663110688773,Thread 21,49,153,4
975165788276498433,Thread 21,58,157,2
975166349176553473,Thread 21,66,193,1
975167102683238400,Thread 21,129,288,15
975168467698466816,Thread 21,132,341,21
994462986948444160,Thread 22,3,5,2
994464168265871360,Thread 22,6,4,1
994467382319046657,Thread 22,3,4,1
994469393672429569,Thread 22,1,2,1
994469849907724288,Thread 22,2,3,1
994471159436664834,Thread 22,1,2,1
994471760409047042,Thread 22,1,3,1
994473215106875392,Thread 22,1,1,1
994473435475693571,Thread 22,1,2,1
994473719501393920,Thread 22,2,3,1
994474040088817664,Thread 22,1,3,1
994474593338486784,Thread 22,1,2,1
994475023036502016,Thread 22,1,2,1
994475904985427968,Thread 22,1,2,1
994476318606708736,Thread 22,2,4,1
994502848795828225,Thread 22,2,2,1
994505167721713664,Thread 22,0,0,1
967873635980595200,Thread 23,584,797,47
967873651881234434,Thread 23,59,95,3
967873662748708864,Thread 23,51,87,2
967873672546578432,Thread 23,48,81,3
967873680956149760,Thread 23,74,104,7
967874680764977152,Thread 23,89,119,17
967874955399581697,Thread 23,53,88,4
967875071141404674,Thread 23,49,69,4
967875162627563524,Thread 23,45,81,2
967875364239364096,Thread 23,63,77,2
967876019200970752,Thread 23,67,101,2
967876115518885888,Thread 23,57,85,4
967876219621593090,Thread 23,37,67,2
967876380032753664,Thread 23,41,80,6
967877022851780608,Thread 23,50,80,6
967877119702335490,Thread 23,55,89,2
967877703729926145,Thread 23,69,108,2
967878221609013249,Thread 23,152,213,8
968479262125805568,Thread 23,0,5,1
976093843211866113,Thread 24,31,23,6
